Scenario,Sensor_Type,Occupancy_Count,Crowd_Density_Level,Detection_Time_sec,Peak_Hazard_Exposure_percent,Evacuation_Time_sec,Success_Rate_percent,Decision_Node,Adaptive_Route_ID,Flow_Pattern_Score,Evacuation_Strategy_Type,Comment,Occupancy_Normalized,Density_Normalized,Hazard_Normalized,Combined_Avg,Route_Status
Electrical Fire,CCTV,1925,0.82,4.9,16.3,380.0,95.72,Edge-Node-1,7,0.494,Leader-Based,Evacuation improving,0.9620318111852232,0.7999999999999999,0.5145202020202021,0.7588506710684751,Dangerous
Station Flooding,CCTV,1315,0.97,4.06,11.35,332.0,96.51,Edge-Node-2,3,0.278,Priority-Based,Potential hazard identified,0.6490507952796306,0.9666666666666666,0.35827020202020204,0.6579958879888331,Dangerous
Tunnel Smoke,Smoke Sensor,1650,0.54,5.05,15.75,350.0,100.51,Edge-Node-1,15,0.69,Priority-Based,Evacuation improving,0.8209338122113904,0.488888888888889,0.49715909090909094,0.6023272640031235,Dangerous
Tunnel Smoke,Smoke Sensor,1997,0.37,4.86,30.55,376.0,95.85,Edge-Node-3,3,0.33,Priority-Based,Sensor alert triggered,0.9989738327347358,0.30000000000000004,0.9643308080808082,0.7544348802718481,Dangerous
Tunnel Smoke,CCTV,966,0.58,3.42,17.46,414.0,95.89,Edge-Node-2,8,0.676,Priority-Based,Evacuation improving,0.46998460749102106,0.5333333333333332,0.5511363636363636,0.5181514348202393,Congested
Sudden Overcrowding,WiFi Log,1165,0.49,4.61,18.92,372.0,94.76,Edge-Node-1,1,0.335,Priority-Based,Normal conditions,0.5720882503848127,0.4333333333333334,0.5972222222222223,0.5342146019801228,Congested
Station Flooding,RFID Log,243,0.58,3.22,19.67,338.0,96.74,Edge-Node-1,8,0.278,Adaptive,Potential hazard identified,0.09902514109799897,0.5333333333333332,0.6208964646464648,0.41775164635926565,Optimal
Platform Fire,RFID Log,1026,0.23,3.85,15.17,380.0,94.52,Edge-Node-3,11,0.536,Adaptive,Crowd flow unstable,0.5007696254489482,0.1444444444444445,0.4788510101010101,0.37468835999813427,Optimal
Tunnel Smoke,CCTV,535,0.64,3.22,20.61,362.0,96.37,Edge-Node-3,17,0.772,Leader-Based,Normal conditions,0.24884556182657772,0.6,0.6505681818181819,0.4998045812149199,Congested
Tunnel Smoke,CCTV,1201,0.47,4.56,14.41,380.0,93.83,Edge-Node-1,16,0.929,Leader-Based,Sensor alert triggered,0.590559261159569,0.41111111111111115,0.45486111111111116,0.4855104944605971,Congested
Platform Fire,RFID Log,966,0.89,3.66,11.98,329.0,97.85,Edge-Node-3,12,0.363,Leader-Based,Evacuation improving,0.46998460749102106,0.8777777777777778,0.3781565656565657,0.5753063169751215,Dangerous
Electrical Fire,RFID Log,1228,0.39,4.89,18.73,453.0,96.29,Edge-Node-1,11,0.722,Priority-Based,Normal conditions,0.6044125192406362,0.32222222222222224,0.5912247474747475,0.505953162979202,Congested
Platform Fire,WiFi Log,363,0.27,4.56,14.29,418.0,95.97,Edge-Node-3,4,0.807,Adaptive,Crowd flow unstable,0.16059517701385323,0.18888888888888894,0.4510732323232323,0.2668524327419915,Optimal
Platform Fire,Heat Sensor,976,0.89,3.51,7.25,353.0,100.24,Edge-Node-3,3,0.481,Leader-Based,Evacuation improving,0.47511544381734216,0.8777777777777778,0.2288510101010101,0.5272480772320434,Congested
Tunnel Smoke,Heat Sensor,1158,0.16,3.62,16.67,361.0,97.02,Edge-Node-2,1,0.852,Priority-Based,Normal conditions,0.5684966649563878,0.06666666666666667,0.526199494949495,0.38712094219084986,Optimal
Sudden Overcrowding,WiFi Log,344,0.65,2.81,14.63,354.0,93.73,Edge-Node-2,5,0.833,Priority-Based,Sensor alert triggered,0.15084658799384298,0.6111111111111112,0.46180555555555564,0.4079210848868366,Optimal
Station Flooding,CCTV,872,0.43,3.51,15.2,331.0,96.15,Edge-Node-3,6,0.544,Priority-Based,Crowd flow unstable,0.42175474602360186,0.3666666666666667,0.4797979797979798,0.42273979749608276,Congested
Station Flooding,Smoke Sensor,819,0.91,5.39,13.51,368.0,96.64,Edge-Node-3,3,0.405,Priority-Based,Evacuation improving,0.3945613134940995,0.9000000000000001,0.4264520202020202,0.57367111123204,Dangerous
Panic Chain Reaction,WiFi Log,428,0.8,5.7,4.17,400.0,95.9,Edge-Node-2,7,0.686,Adaptive,Normal conditions,0.19394561313494096,0.7777777777777778,0.13162878787878787,0.36778405959716887,Optimal
Tunnel Smoke,Heat Sensor,924,0.97,6.28,17.03,419.0,98.32,Edge-Node-1,15,0.246,Leader-Based,Normal conditions,0.448435094920472,0.9666666666666666,0.5375631313131314,0.6508882976334234,Dangerous
Sudden Overcrowding,Smoke Sensor,1370,0.94,4.39,8.26,438.0,98.49,Edge-Node-3,12,0.582,Leader-Based,Crowd flow unstable,0.6772703950743971,0.9333333333333333,0.26073232323232326,0.6237786838800179,Dangerous
Tunnel Smoke,WiFi Log,1914,0.79,6.43,15.34,366.0,97.25,Edge-Node-2,5,0.259,Leader-Based,High congestion observed,0.9563878912262699,0.7666666666666667,0.48421717171717177,0.7357572432033694,Dangerous
Electrical Fire,Smoke Sensor,441,0.52,5.46,20.67,362.0,94.95,Edge-Node-2,16,0.349,Leader-Based,High congestion observed,0.20061570035915852,0.46666666666666673,0.6524621212121213,0.43991482941264887,Congested
Electrical Fire,Heat Sensor,565,0.32,4.19,19.17,377.0,95.99,Edge-Node-1,11,0.369,Leader-Based,Potential hazard identified,0.2642380708055413,0.24444444444444446,0.6051136363636365,0.37126538387120744,Optimal
Tunnel Smoke,Environmental Sensor,1374,0.46,2.53,12.74,342.0,95.41,Edge-Node-1,1,0.43,Adaptive,Sensor alert triggered,0.6793227296049256,0.4000000000000001,0.4021464646464647,0.4938230647504635,Congested
Electrical Fire,WiFi Log,448,0.59,4.95,22.6,392.0,95.16,Edge-Node-2,15,0.407,Leader-Based,Potential hazard identified,0.20420728578758335,0.5444444444444444,0.7133838383838385,0.48734518953862205,Congested
Platform Fire,RFID Log,1535,0.78,2.75,14.27,408.0,94.52,Edge-Node-2,17,0.7,Priority-Based,Crowd flow unstable,0.7619291944586968,0.7555555555555555,0.4504419191919192,0.6559755564020572,Dangerous
Station Flooding,WiFi Log,1998,0.12,3.97,7.27,354.0,100.4,Edge-Node-1,19,0.826,Adaptive,Crowd flow unstable,0.9994869163673678,0.022222222222222213,0.22948232323232323,0.41706382060730446,Optimal
Sudden Overcrowding,WiFi Log,395,0.35,3.67,10.25,266.0,98.26,Edge-Node-2,7,0.816,Adaptive,Normal conditions,0.17701385325808106,0.2777777777777778,0.32354797979797983,0.2594465369446129,Optimal
Tunnel Smoke,Environmental Sensor,516,0.19,3.24,21.28,334.0,94.66,Edge-Node-3,16,0.381,Leader-Based,Potential hazard identified,0.23909697280656747,0.09999999999999999,0.6717171717171718,0.3369380481745798,Optimal
Sudden Overcrowding,Environmental Sensor,1743,0.29,5.14,16.41,326.0,97.63,Edge-Node-3,4,0.631,Adaptive,Normal conditions,0.8686505900461775,0.21111111111111108,0.5179924242424243,0.532584708466571,Congested
Panic Chain Reaction,Environmental Sensor,296,0.97,6.53,5.85,323.0,97.06,Edge-Node-3,9,0.215,Leader-Based,Potential hazard identified,0.12621857362750127,0.9666666666666666,0.1846590909090909,0.4258481104010862,Congested
Station Flooding,Environmental Sensor,905,0.43,5.11,11.24,422.0,94.85,Edge-Node-2,8,0.385,Priority-Based,Crowd flow unstable,0.43868650590046177,0.3666666666666667,0.35479797979797983,0.38671705078836943,Optimal
Station Flooding,WiFi Log,998,0.85,4.13,22.89,369.0,95.86,Edge-Node-1,14,0.597,Leader-Based,High congestion observed,0.4864032837352489,0.8333333333333333,0.7225378787878789,0.680758165285487,Dangerous
Sudden Overcrowding,Smoke Sensor,1649,0.73,4.68,8.83,319.0,95.99,Edge-Node-2,10,0.783,Priority-Based,Evacuation improving,0.8204207285787584,0.7,0.2787247474747475,0.5997151586845019,Dangerous
Electrical Fire,Smoke Sensor,321,0.2,3.81,7.01,376.0,95.1,Edge-Node-2,7,0.541,Adaptive,Normal conditions,0.13904566444330424,0.11111111111111112,0.22127525252525254,0.1571440093598893,Optimal
Sudden Overcrowding,Smoke Sensor,1138,0.65,5.42,19.82,346.0,95.6,Edge-Node-3,4,0.237,Priority-Based,Normal conditions,0.5582349923037455,0.6111111111111112,0.6256313131313131,0.5983258055153899,Dangerous
Tunnel Smoke,CCTV,945,0.87,4.09,17.19,320.0,95.76,Edge-Node-3,1,0.394,Leader-Based,High congestion observed,0.45920985120574653,0.8555555555555555,0.5426136363636365,0.6191263477083128,Dangerous
Sudden Overcrowding,Heat Sensor,1088,0.89,1.73,21.54,449.0,95.8,Edge-Node-2,14,0.915,Adaptive,Evacuation improving,0.5325808106721396,0.8777777777777778,0.6799242424242424,0.69676094362472,Dangerous
Station Flooding,RFID Log,510,0.66,4.37,16.81,303.0,98.11,Edge-Node-1,14,0.671,Priority-Based,Normal conditions,0.23601847101077475,0.6222222222222222,0.5306186868686869,0.4629531267005613,Congested
Sudden Overcrowding,Heat Sensor,1515,0.7,5.58,13.33,340.0,95.53,Edge-Node-3,15,0.257,Priority-Based,High congestion observed,0.7516675218060543,0.6666666666666666,0.42077020202020204,0.6130347968309743,Dangerous
Tunnel Smoke,Heat Sensor,1452,0.5,4.16,13.0,323.0,94.66,Edge-Node-1,7,0.436,Leader-Based,High congestion observed,0.7193432529502308,0.4444444444444445,0.41035353535353536,0.5247137442494035,Congested
Tunnel Smoke,RFID Log,471,0.82,2.94,9.89,314.0,93.64,Edge-Node-3,17,0.724,Adaptive,Crowd flow unstable,0.2160082093381221,0.7999999999999999,0.3121843434343435,0.44273085092415515,Congested
Station Flooding,CCTV,1512,0.94,1.58,17.49,357.0,96.81,Edge-Node-3,19,0.897,Priority-Based,Potential hazard identified,0.750128270908158,0.9333333333333333,0.5520833333333334,0.745181645858275,Dangerous
Tunnel Smoke,Heat Sensor,1235,0.19,3.85,15.33,402.0,95.39,Edge-Node-2,2,0.476,Adaptive,Sensor alert triggered,0.6080041046690611,0.09999999999999999,0.4839015151515152,0.3973018732735254,Optimal
Sudden Overcrowding,Heat Sensor,783,0.65,3.17,19.45,435.0,98.35,Edge-Node-1,9,0.743,Priority-Based,Normal conditions,0.37609030271934324,0.6111111111111112,0.6139520202020202,0.5337178113441582,Congested
Tunnel Smoke,Heat Sensor,1068,0.83,4.78,8.01,359.0,98.87,Edge-Node-3,3,0.92,Adaptive,Evacuation improving,0.5223191380194971,0.811111111111111,0.2528409090909091,0.5287570527405058,Congested
Station Flooding,WiFi Log,1252,0.72,4.05,20.43,341.0,100.05,Edge-Node-2,15,0.908,Leader-Based,Sensor alert triggered,0.6167265264238071,0.6888888888888889,0.6448863636363636,0.6501672596496865,Dangerous
Panic Chain Reaction,Smoke Sensor,1558,0.99,3.36,21.91,429.0,96.49,Edge-Node-1,6,0.656,Adaptive,Normal conditions,0.7737301180092355,0.9888888888888889,0.6916035353535354,0.8180741807505533,Dangerous
Electrical Fire,RFID Log,459,0.92,5.17,9.83,388.0,97.15,Edge-Node-2,16,0.6,Priority-Based,Evacuation improving,0.20985120574653665,0.9111111111111112,0.3102904040404041,0.4770842402993507,Congested
Sudden Overcrowding,Heat Sensor,1121,0.79,2.43,19.11,364.0,95.19,Edge-Node-1,18,0.777,Adaptive,Normal conditions,0.5495125705489995,0.7666666666666667,0.603219696969697,0.6397996447284544,Dangerous
Sudden Overcrowding,Heat Sensor,1265,0.63,4.11,14.44,319.0,100.18,Edge-Node-3,12,0.874,Priority-Based,High congestion observed,0.6233966136480246,0.5888888888888889,0.45580808080808083,0.5560311944483315,Dangerous
Platform Fire,Heat Sensor,1265,0.65,2.34,20.01,312.0,98.41,Edge-Node-3,15,0.376,Leader-Based,Potential hazard identified,0.6233966136480246,0.6111111111111112,0.631628787878788,0.6220455042126413,Dangerous
Tunnel Smoke,RFID Log,832,0.88,3.94,12.93,355.0,90.8,Edge-Node-1,10,0.412,Leader-Based,Sensor alert triggered,0.4012314007183171,0.8666666666666667,0.4081439393939394,0.5586806689263077,Dangerous
Electrical Fire,Heat Sensor,1669,0.25,3.51,9.46,314.0,95.51,Edge-Node-2,7,0.684,Adaptive,Crowd flow unstable,0.8306824012314007,0.16666666666666669,0.29861111111111116,0.43198672633639285,Congested
Platform Fire,WiFi Log,1983,0.29,4.78,15.37,381.0,100.23,Edge-Node-2,13,0.509,Adaptive,High congestion observed,0.9917906618778861,0.21111111111111108,0.48516414141414144,0.5626886381343795,Dangerous
Station Flooding,Heat Sensor,182,0.83,5.83,15.71,371.0,95.59,Edge-Node-3,2,0.808,Leader-Based,Normal conditions,0.06772703950743972,0.811111111111111,0.4958964646464647,0.45824487175500517,Congested
Tunnel Smoke,RFID Log,1165,0.81,4.44,8.56,427.0,97.32,Edge-Node-1,2,0.421,Adaptive,Sensor alert triggered,0.5720882503848127,0.788888888888889,0.2702020202020202,0.5437263864919073,Congested
Panic Chain Reaction,Heat Sensor,1523,0.61,5.26,12.67,381.0,96.8,Edge-Node-2,7,0.825,Priority-Based,Crowd flow unstable,0.7557721908671113,0.5666666666666667,0.39993686868686873,0.5741252420735489,Dangerous
Station Flooding,WiFi Log,1849,0.15,3.53,31.68,366.0,95.64,Edge-Node-1,10,0.936,Leader-Based,Evacuation improving,0.9230374551051821,0.05555555555555554,1.0,0.6595310035535792,Dangerous
Platform Fire,Environmental Sensor,1778,0.3,4.16,15.9,372.0,97.09,Edge-Node-3,19,0.704,Leader-Based,Evacuation improving,0.8866085171883017,0.2222222222222222,0.5018939393939394,0.5369082262681545,Congested
Sudden Overcrowding,Environmental Sensor,1906,0.36,2.64,10.71,353.0,94.23,Edge-Node-1,14,0.608,Adaptive,High congestion observed,0.9522832221652129,0.2888888888888889,0.3380681818181819,0.5264134309574279,Congested
Station Flooding,RFID Log,1461,0.16,5.17,28.16,373.0,98.82,Edge-Node-1,15,0.65,Priority-Based,Evacuation improving,0.72396100564392,0.06666666666666667,0.888888888888889,0.5598388537331586,Dangerous
Tunnel Smoke,Heat Sensor,1682,0.65,3.7,12.71,363.0,90.39,Edge-Node-2,11,0.434,Adaptive,Evacuation improving,0.8373524884556183,0.6111111111111112,0.40119949494949503,0.6165543648387415,Dangerous
Tunnel Smoke,Heat Sensor,1361,0.49,4.98,11.54,255.0,96.99,Edge-Node-3,12,0.704,Leader-Based,Crowd flow unstable,0.672652642380708,0.4333333333333334,0.36426767676767674,0.49008455082723934,Congested
Station Flooding,WiFi Log,258,0.35,1.17,16.86,321.0,98.27,Edge-Node-3,11,0.25,Priority-Based,Sensor alert triggered,0.10672139558748077,0.2777777777777778,0.5321969696969697,0.30556538102074277,Optimal
Panic Chain Reaction,RFID Log,429,0.42,4.01,12.26,306.0,96.91,Edge-Node-2,19,0.213,Adaptive,Potential hazard identified,0.1944586967675731,0.35555555555555557,0.3869949494949495,0.312336400606026,Optimal
Panic Chain Reaction,Heat Sensor,1072,0.35,1.57,8.28,299.0,95.99,Edge-Node-2,6,0.675,Adaptive,Potential hazard identified,0.5243714725500257,0.2777777777777778,0.26136363636363635,0.3545042955638133,Optimal
Station Flooding,Smoke Sensor,379,0.65,2.42,17.28,414.0,95.28,Edge-Node-1,3,0.31,Leader-Based,Sensor alert triggered,0.16880451513596714,0.6111111111111112,0.5454545454545455,0.44179005723387466,Congested
Sudden Overcrowding,Environmental Sensor,781,0.12,3.76,10.02,356.0,98.96,Edge-Node-1,3,0.742,Priority-Based,Evacuation improving,0.375064135454079,0.022222222222222213,0.3162878787878788,0.23785807882139332,Optimal
Panic Chain Reaction,CCTV,417,0.25,2.56,9.64,341.0,97.01,Edge-Node-1,18,0.561,Priority-Based,Sensor alert triggered,0.18830169317598766,0.16666666666666669,0.30429292929292934,0.21975376304519456,Optimal
Sudden Overcrowding,WiFi Log,372,0.12,3.62,14.7,290.0,97.05,Edge-Node-1,16,0.549,Priority-Based,Sensor alert triggered,0.1652129297075423,0.022222222222222213,0.46401515151515155,0.21715010114830535,Optimal
Platform Fire,Heat Sensor,1272,0.91,3.25,21.53,340.0,98.28,Edge-Node-3,10,0.761,Leader-Based,Evacuation improving,0.6269881990764494,0.9000000000000001,0.679608585858586,0.7355322616450118,Dangerous
Sudden Overcrowding,CCTV,140,0.2,3.63,10.1,305.0,96.9,Edge-Node-1,12,0.303,Adaptive,High congestion observed,0.046177526936890714,0.11111111111111112,0.3188131313131313,0.15870058978704438,Optimal
Platform Fire,Smoke Sensor,75,0.9,5.07,20.71,369.0,93.46,Edge-Node-3,15,0.906,Leader-Based,Normal conditions,0.012827090815802977,0.8888888888888888,0.6537247474747475,0.5184802423931464,Congested
Panic Chain Reaction,WiFi Log,1677,0.55,2.24,17.26,391.0,96.52,Edge-Node-2,18,0.695,Adaptive,Normal conditions,0.8347870702924577,0.5,0.5448232323232324,0.6265367675385632,Dangerous
Panic Chain Reaction,Heat Sensor,518,0.24,2.88,15.87,364.0,99.78,Edge-Node-1,17,0.645,Priority-Based,Crowd flow unstable,0.2401231400718317,0.15555555555555556,0.5009469696969697,0.29887522177478565,Optimal
Platform Fire,Smoke Sensor,1843,0.29,3.42,2.3,341.0,95.05,Edge-Node-2,10,0.481,Leader-Based,High congestion observed,0.9199589533093894,0.21111111111111108,0.0726010101010101,0.40122369150717024,Optimal
Panic Chain Reaction,CCTV,1668,0.17,3.16,10.7,370.0,95.26,Edge-Node-2,15,0.836,Adaptive,Evacuation improving,0.8301693175987686,0.07777777777777779,0.33775252525252525,0.4152332068763572,Optimal
Station Flooding,Heat Sensor,894,0.43,4.01,9.84,368.0,94.1,Edge-Node-1,7,0.434,Adaptive,Sensor alert triggered,0.43304258594150846,0.3666666666666667,0.3106060606060606,0.37010510440474526,Optimal
Tunnel Smoke,Environmental Sensor,129,0.63,2.53,18.96,395.0,97.68,Edge-Node-1,1,0.278,Priority-Based,High congestion observed,0.04053360697793741,0.5888888888888889,0.5984848484848485,0.40930244811722494,Optimal
Station Flooding,CCTV,584,0.99,3.37,18.85,437.0,95.55,Edge-Node-3,18,0.703,Leader-Based,Evacuation improving,0.2739866598255516,0.9888888888888889,0.5950126262626263,0.6192960583256889,Dangerous
Station Flooding,CCTV,800,0.37,3.18,14.33,359.0,98.35,Edge-Node-1,6,0.452,Leader-Based,Sensor alert triggered,0.38481272447408926,0.30000000000000004,0.4523358585858586,0.3790495276866493,Optimal
Electrical Fire,Smoke Sensor,246,0.2,3.87,14.74,381.0,94.11,Edge-Node-1,15,0.588,Priority-Based,Sensor alert triggered,0.10056439199589533,0.11111111111111112,0.4652777777777778,0.2256510936282614,Optimal
Panic Chain Reaction,RFID Log,1379,0.77,2.86,22.01,272.0,97.59,Edge-Node-1,13,0.259,Priority-Based,Crowd flow unstable,0.6818881477680862,0.7444444444444445,0.6947601010101011,0.7070308977408772,Dangerous
Tunnel Smoke,Environmental Sensor,743,0.31,3.11,25.72,280.0,94.65,Edge-Node-3,16,0.58,Adaptive,Evacuation improving,0.35556695741405847,0.23333333333333334,0.8118686868686869,0.46692299253869285,Congested
Electrical Fire,CCTV,287,0.95,1.85,11.39,353.0,98.14,Edge-Node-3,1,0.413,Priority-Based,Crowd flow unstable,0.1216008209338122,0.9444444444444444,0.35953282828282834,0.4751926978870283,Congested
Station Flooding,Smoke Sensor,1980,0.66,1.83,12.36,430.0,92.59,Edge-Node-2,6,0.454,Adaptive,Sensor alert triggered,0.9902514109799897,0.6222222222222222,0.39015151515151514,0.667541716117909,Dangerous
Electrical Fire,Heat Sensor,774,0.49,5.74,10.72,365.0,97.68,Edge-Node-3,17,0.289,Priority-Based,Normal conditions,0.37147255002565416,0.4333333333333334,0.33838383838383845,0.381063240580942,Optimal
Electrical Fire,Smoke Sensor,1481,0.42,2.79,21.52,405.0,92.63,Edge-Node-1,8,0.767,Adaptive,Normal conditions,0.7342226782965623,0.35555555555555557,0.6792929292929293,0.5896903877150157,Dangerous
Electrical Fire,WiFi Log,1441,0.55,6.23,15.4,394.0,94.11,Edge-Node-3,11,0.533,Adaptive,High congestion observed,0.7136993329912775,0.5,0.48611111111111116,0.5666034813674629,Dangerous
Panic Chain Reaction,Environmental Sensor,1181,0.92,3.06,13.14,383.0,95.18,Edge-Node-3,3,0.524,Leader-Based,Normal conditions,0.5802975885069266,0.9111111111111112,0.4147727272727273,0.6353938089635883,Dangerous
Platform Fire,WiFi Log,807,0.56,3.97,18.01,382.0,94.72,Edge-Node-1,18,0.713,Adaptive,Potential hazard identified,0.3884043099025141,0.5111111111111112,0.5684974747474748,0.4893376319203668,Congested
Electrical Fire,WiFi Log,1424,0.25,3.68,19.86,383.0,97.07,Edge-Node-1,6,0.541,Priority-Based,Evacuation improving,0.7049769112365315,0.16666666666666669,0.6268939393939394,0.49951250576571254,Congested
Electrical Fire,Smoke Sensor,380,0.92,3.93,11.58,339.0,96.72,Edge-Node-1,11,0.416,Priority-Based,High congestion observed,0.16931759876859925,0.9111111111111112,0.36553030303030304,0.48198633763667115,Congested
Sudden Overcrowding,Environmental Sensor,57,0.2,4.11,10.54,436.0,95.41,Edge-Node-3,16,0.48,Leader-Based,Potential hazard identified,0.003591585428424835,0.11111111111111112,0.3327020202020202,0.14913490558051873,Optimal
Electrical Fire,Environmental Sensor,205,0.5,3.09,11.69,322.0,95.5,Edge-Node-1,6,0.286,Leader-Based,Crowd flow unstable,0.07952796305797845,0.4444444444444445,0.36900252525252525,0.297658310918316,Optimal
Platform Fire,Environmental Sensor,1678,0.42,2.47,9.58,337.0,95.27,Edge-Node-1,10,0.291,Adaptive,Potential hazard identified,0.8353001539250897,0.35555555555555557,0.30239898989898994,0.49775156645987845,Congested
Electrical Fire,RFID Log,391,0.79,3.37,8.71,392.0,92.6,Edge-Node-2,6,0.712,Leader-Based,Potential hazard identified,0.17496151872755258,0.7666666666666667,0.27493686868686873,0.40552168469369604,Optimal
Tunnel Smoke,Environmental Sensor,222,0.48,6.17,0.65,378.0,97.85,Edge-Node-1,2,0.946,Leader-Based,Crowd flow unstable,0.08825038481272447,0.4222222222222222,0.02051767676767677,0.17699676126754116,Optimal
Sudden Overcrowding,RFID Log,491,0.64,3.76,19.86,356.0,99.36,Edge-Node-2,2,0.274,Leader-Based,Normal conditions,0.22626988199076445,0.6,0.6268939393939394,0.4843879404615679,Congested
Electrical Fire,Smoke Sensor,1678,0.24,4.58,7.83,364.0,97.35,Edge-Node-3,5,0.416,Leader-Based,Potential hazard identified,0.8353001539250897,0.15555555555555556,0.24715909090909094,0.41267160012991205,Optimal
Platform Fire,WiFi Log,1596,0.65,3.23,27.24,399.0,96.91,Edge-Node-2,3,0.737,Leader-Based,Sensor alert triggered,0.793227296049256,0.6111111111111112,0.8598484848484849,0.7547289640029508,Dangerous
Tunnel Smoke,CCTV,1307,0.22,2.54,21.22,425.0,97.6,Edge-Node-1,14,0.288,Adaptive,Normal conditions,0.6449461262185736,0.13333333333333336,0.6698232323232324,0.4827008972917131,Congested
Tunnel Smoke,Environmental Sensor,1253,0.22,3.33,15.24,379.0,97.72,Edge-Node-3,15,0.387,Adaptive,Crowd flow unstable,0.6172396100564392,0.13333333333333336,0.4810606060606061,0.4105445164834595,Optimal
Panic Chain Reaction,Environmental Sensor,495,0.15,2.86,17.65,358.0,95.18,Edge-Node-1,12,0.276,Priority-Based,Potential hazard identified,0.22832221652129295,0.05555555555555554,0.5571338383838383,0.2803372034868956,Optimal
Panic Chain Reaction,RFID Log,827,0.76,4.32,12.04,407.0,98.33,Edge-Node-3,6,0.796,Adaptive,Normal conditions,0.3986659825551565,0.7333333333333333,0.380050505050505,0.5040166069796649,Congested
Electrical Fire,Smoke Sensor,1059,0.64,2.81,10.62,354.0,95.79,Edge-Node-2,7,0.418,Leader-Based,Crowd flow unstable,0.5177013853258081,0.6,0.3352272727272727,0.4843095526843602,Congested
Platform Fire,WiFi Log,481,0.45,5.21,20.87,326.0,97.78,Edge-Node-1,13,0.92,Priority-Based,Crowd flow unstable,0.22113904566444328,0.3888888888888889,0.6587752525252526,0.42293439569286156,Congested
Panic Chain Reaction,Heat Sensor,386,0.6,4.6,7.65,350.0,96.65,Edge-Node-2,19,0.796,Priority-Based,Evacuation improving,0.17239610056439197,0.5555555555555555,0.24147727272727276,0.32314297628240674,Optimal
Sudden Overcrowding,WiFi Log,1232,0.48,3.26,16.88,403.0,95.85,Edge-Node-1,8,0.626,Priority-Based,Evacuation improving,0.6064648537711647,0.4222222222222222,0.5328282828282829,0.5205051196072232,Congested
Tunnel Smoke,RFID Log,235,0.18,2.69,16.86,391.0,96.23,Edge-Node-2,1,0.531,Priority-Based,Potential hazard identified,0.09492047203694202,0.08888888888888889,0.5321969696969697,0.23866877687426688,Optimal
Platform Fire,Heat Sensor,321,0.31,5.31,14.58,276.0,100.4,Edge-Node-3,10,0.487,Adaptive,Normal conditions,0.13904566444330424,0.23333333333333334,0.46022727272727276,0.27753542350130345,Optimal
Platform Fire,Heat Sensor,1351,0.79,4.53,12.39,343.0,97.63,Edge-Node-2,9,0.536,Adaptive,Evacuation improving,0.6675218060543868,0.7666666666666667,0.3910984848484849,0.6084289858565128,Dangerous
Panic Chain Reaction,Heat Sensor,1686,0.79,4.61,16.32,328.0,95.08,Edge-Node-2,18,0.84,Adaptive,Normal conditions,0.8394048229861467,0.7666666666666667,0.5151515151515152,0.7070743349347762,Dangerous
Panic Chain Reaction,WiFi Log,196,0.54,3.94,22.0,362.0,96.79,Edge-Node-2,15,0.451,Adaptive,Evacuation improving,0.07491021036428938,0.488888888888889,0.6944444444444445,0.4194145145658743,Optimal
Tunnel Smoke,CCTV,544,0.42,4.13,17.06,436.0,98.11,Edge-Node-1,19,0.897,Leader-Based,High congestion observed,0.2534633145202668,0.35555555555555557,0.538510101010101,0.3825096570286411,Optimal
Station Flooding,Heat Sensor,631,0.13,4.75,20.27,373.0,92.23,Edge-Node-1,18,0.659,Adaptive,High congestion observed,0.29810159055926116,0.03333333333333334,0.6398358585858586,0.32375692749281765,Optimal
Platform Fire,Heat Sensor,1113,0.16,3.14,9.71,292.0,97.67,Edge-Node-2,9,0.263,Priority-Based,Normal conditions,0.5454079014879425,0.06666666666666667,0.3065025252525253,0.3061923644690448,Optimal
Tunnel Smoke,Heat Sensor,635,0.25,4.19,18.84,354.0,92.57,Edge-Node-2,19,0.362,Adaptive,Potential hazard identified,0.30015392508978966,0.16666666666666669,0.5946969696969697,0.353839187151142,Optimal
Platform Fire,RFID Log,1619,0.9,1.14,19.29,323.0,93.53,Edge-Node-1,18,0.286,Leader-Based,Potential hazard identified,0.8050282195997948,0.8888888888888888,0.6089015151515151,0.7676062078800663,Dangerous
Platform Fire,WiFi Log,553,0.12,3.32,13.91,360.0,97.48,Edge-Node-1,5,0.785,Priority-Based,Normal conditions,0.2580810672139559,0.022222222222222213,0.4390782828282829,0.23979385742148698,Optimal
Sudden Overcrowding,CCTV,1985,0.24,1.21,10.83,383.0,98.13,Edge-Node-1,10,0.257,Priority-Based,Evacuation improving,0.9928168291431504,0.15555555555555556,0.3418560606060606,0.49674281510158885,Congested
Sudden Overcrowding,Smoke Sensor,1089,0.97,3.34,22.61,430.0,93.69,Edge-Node-1,19,0.299,Leader-Based,Sensor alert triggered,0.5330938943047717,0.9666666666666666,0.713699494949495,0.7378200186403111,Dangerous
Electrical Fire,Smoke Sensor,1213,0.47,2.37,17.06,340.0,96.39,Edge-Node-3,13,0.757,Priority-Based,High congestion observed,0.5967162647511545,0.41111111111111115,0.538510101010101,0.5154458256241222,Congested
Sudden Overcrowding,Smoke Sensor,1350,0.36,3.61,6.15,325.0,96.32,Edge-Node-1,4,0.222,Priority-Based,Potential hazard identified,0.6670087224217547,0.2888888888888889,0.1941287878787879,0.38334213306314385,Optimal
