route,hour,day_of_week,is_weekend,temperature,is_raining,nearby_event,prev_passenger_count,passenger_count,vehicle_capacity,data_source,route_avg_demand,is_peak_hour,utilisation,day_name
Route 4 - North Suburbs,7,0,0,11.6,0,0,12,43,100,SYNTHETIC,30.0,1,0.43,Monday
Route 4 - North Suburbs,12,4,0,13.8,0,0,18,20,100,SYNTHETIC,30.0,0,0.2,Friday
Route 1 - City Centre Express,18,5,1,15.5,0,0,52,51,100,SYNTHETIC,55.2,1,0.51,Saturday
Route 6 - Industrial Park,9,3,0,18.7,0,0,104,70,100,SYNTHETIC,45.9,1,0.7,Thursday
Route 7 - Hospital Line,18,3,0,28.9,0,0,56,63,100,SYNTHETIC,37.7,1,0.63,Thursday
Route 3 - University Shuttle,14,0,0,12.3,0,0,22,18,100,SYNTHETIC,37.7,0,0.18,Monday
Route 8 - Beach/Leisure,18,1,0,38.3,0,0,45,45,100,SYNTHETIC,27.1,1,0.45,Tuesday
Route 10 - West Ring,13,5,1,12.5,0,0,7,12,100,SYNTHETIC,26.9,0,0.12,Saturday
Route 2 - Airport Link,11,2,0,8.7,0,0,25,23,100,SYNTHETIC,38.4,0,0.23,Wednesday
Route 6 - Industrial Park,9,0,0,33.5,0,0,106,65,100,SYNTHETIC,45.9,1,0.65,Monday
Route 7 - Hospital Line,9,5,1,30.6,0,0,51,34,100,SYNTHETIC,37.7,1,0.34,Saturday
Route 1 - City Centre Express,18,4,0,18.5,0,0,113,98,100,SYNTHETIC,55.2,1,0.98,Friday
Route 2 - Airport Link,7,0,0,23.1,0,0,12,46,100,SYNTHETIC,38.4,1,0.46,Monday
Route 4 - North Suburbs,7,0,0,23.3,0,0,8,48,100,SYNTHETIC,30.0,1,0.48,Monday
Route 2 - Airport Link,8,0,0,21.1,0,0,58,60,100,SYNTHETIC,38.4,1,0.6,Monday
Route 4 - North Suburbs,8,0,0,9.6,0,0,53,56,100,SYNTHETIC,30.0,1,0.56,Monday
Route 2 - Airport Link,19,4,0,0.1,0,0,50,43,100,SYNTHETIC,38.4,1,0.43,Friday
Route 9 - East Corridor,12,0,0,13.2,1,0,26,31,100,SYNTHETIC,35.6,0,0.31,Monday
Route 6 - Industrial Park,22,4,0,34.5,1,0,29,10,100,SYNTHETIC,45.9,0,0.1,Friday
Route 4 - North Suburbs,8,1,0,34.8,1,0,54,52,100,SYNTHETIC,30.0,1,0.52,Tuesday
Route 8 - Beach/Leisure,17,6,1,17.9,1,0,33,70,100,SYNTHETIC,27.1,1,0.7,Sunday
Route 1 - City Centre Express,13,5,1,12.3,0,0,26,24,100,SYNTHETIC,55.2,0,0.24,Saturday
Route 6 - Industrial Park,12,2,0,22.2,1,0,41,35,100,SYNTHETIC,45.9,0,0.35,Wednesday
Route 7 - Hospital Line,19,3,0,23.5,1,0,71,53,100,SYNTHETIC,37.7,1,0.53,Thursday
Route 9 - East Corridor,22,0,0,24.8,0,0,19,7,100,SYNTHETIC,35.6,0,0.07,Monday
Route 3 - University Shuttle,19,0,0,-0.2,1,0,76,70,100,SYNTHETIC,37.7,1,0.7,Monday
Route 6 - Industrial Park,8,3,0,42.0,1,0,88,100,100,SYNTHETIC,45.9,1,1.0,Thursday
Route 8 - Beach/Leisure,9,0,0,29.1,1,0,28,16,100,SYNTHETIC,27.1,1,0.16,Monday
Route 8 - Beach/Leisure,17,4,0,18.4,0,0,13,39,100,SYNTHETIC,27.1,1,0.39,Friday
Route 2 - Airport Link,10,2,0,14.3,0,1,54,36,100,SYNTHETIC,38.4,0,0.36,Wednesday
Route 10 - West Ring,18,0,0,27.9,0,0,47,50,100,SYNTHETIC,26.9,1,0.5,Monday
Route 3 - University Shuttle,15,3,0,24.0,0,0,23,22,100,SYNTHETIC,37.7,0,0.22,Thursday
Route 4 - North Suburbs,15,3,0,20.7,0,0,16,20,100,SYNTHETIC,30.0,0,0.2,Thursday
Route 2 - Airport Link,19,5,1,23.7,0,0,61,42,100,SYNTHETIC,38.4,1,0.42,Saturday
Route 2 - Airport Link,17,1,0,19.1,0,0,30,51,100,SYNTHETIC,38.4,1,0.51,Tuesday
Route 3 - University Shuttle,6,3,0,23.2,0,0,4,12,100,SYNTHETIC,37.7,0,0.12,Thursday
Route 2 - Airport Link,7,5,1,25.8,0,0,11,50,100,SYNTHETIC,38.4,1,0.5,Saturday
Route 8 - Beach/Leisure,16,1,0,22.7,0,0,15,15,100,SYNTHETIC,27.1,0,0.15,Tuesday
Route 6 - Industrial Park,14,5,1,22.3,0,0,7,5,100,SYNTHETIC,45.9,0,0.05,Saturday
Route 4 - North Suburbs,9,5,1,31.1,0,0,31,17,100,SYNTHETIC,30.0,1,0.17,Saturday
Route 6 - Industrial Park,12,3,0,7.2,1,0,34,31,100,SYNTHETIC,45.9,0,0.31,Thursday
Route 7 - Hospital Line,18,6,1,13.6,0,0,43,40,100,SYNTHETIC,37.7,1,0.4,Sunday
Route 2 - Airport Link,19,6,1,20.2,1,0,50,52,100,SYNTHETIC,38.4,1,0.52,Sunday
Route 3 - University Shuttle,15,1,0,14.2,0,0,25,18,100,SYNTHETIC,37.7,0,0.18,Tuesday
Route 9 - East Corridor,12,6,1,16.8,0,1,14,17,100,SYNTHETIC,35.6,0,0.17,Sunday
Route 1 - City Centre Express,10,0,0,30.3,0,0,71,29,100,SYNTHETIC,55.2,0,0.29,Monday
Route 10 - West Ring,14,0,0,18.8,1,0,20,23,100,SYNTHETIC,26.9,0,0.23,Monday
Route 10 - West Ring,10,0,0,5.4,0,0,35,23,100,SYNTHETIC,26.9,0,0.23,Monday
Route 3 - University Shuttle,15,2,0,16.6,0,1,31,34,100,SYNTHETIC,37.7,0,0.34,Wednesday
Route 4 - North Suburbs,17,6,1,20.5,0,0,13,28,100,SYNTHETIC,30.0,1,0.28,Sunday
Route 3 - University Shuttle,7,4,0,20.3,0,0,17,74,100,SYNTHETIC,37.7,1,0.74,Friday
Route 6 - Industrial Park,0,4,0,24.4,0,1,0,3,100,SYNTHETIC,45.9,0,0.03,Friday
Route 3 - University Shuttle,9,0,0,23.8,0,0,88,63,100,SYNTHETIC,37.7,1,0.63,Monday
Route 8 - Beach/Leisure,20,3,0,18.9,0,0,32,10,100,SYNTHETIC,27.1,0,0.1,Thursday
Route 4 - North Suburbs,17,2,0,10.5,0,0,27,51,100,SYNTHETIC,30.0,1,0.51,Wednesday
Route 10 - West Ring,8,3,0,16.5,1,1,65,87,100,SYNTHETIC,26.9,1,0.87,Thursday
Route 9 - East Corridor,20,1,0,15.0,1,0,56,22,100,SYNTHETIC,35.6,0,0.22,Tuesday
Route 5 - South Connector,13,1,0,17.7,1,0,17,21,100,SYNTHETIC,24.6,0,0.21,Tuesday
Route 6 - Industrial Park,13,6,1,25.5,0,0,9,0,100,SYNTHETIC,45.9,0,0.0,Sunday
Route 1 - City Centre Express,20,3,0,23.2,0,0,79,33,100,SYNTHETIC,55.2,0,0.33,Thursday
Route 1 - City Centre Express,7,2,0,26.6,0,1,25,149,100,SYNTHETIC,55.2,1,1.49,Wednesday
Route 6 - Industrial Park,9,0,0,16.9,0,0,107,67,100,SYNTHETIC,45.9,1,0.67,Monday
Route 5 - South Connector,16,5,1,32.1,0,1,11,15,100,SYNTHETIC,24.6,0,0.15,Saturday
Route 4 - North Suburbs,8,3,0,25.4,1,0,52,56,100,SYNTHETIC,30.0,1,0.56,Thursday
Route 1 - City Centre Express,17,2,0,20.9,1,0,46,107,100,SYNTHETIC,55.2,1,1.07,Wednesday
Route 9 - East Corridor,9,4,0,24.8,0,0,56,52,100,SYNTHETIC,35.6,1,0.52,Friday
Route 5 - South Connector,7,0,0,14.6,0,0,4,37,100,SYNTHETIC,24.6,1,0.37,Monday
Route 5 - South Connector,8,3,0,3.1,0,0,33,40,100,SYNTHETIC,24.6,1,0.4,Thursday
Route 5 - South Connector,12,6,1,15.1,1,0,7,6,100,SYNTHETIC,24.6,0,0.06,Sunday
Route 5 - South Connector,8,3,0,26.0,0,0,36,45,100,SYNTHETIC,24.6,1,0.45,Thursday
Route 7 - Hospital Line,8,0,0,20.6,0,0,60,62,100,SYNTHETIC,37.7,1,0.62,Monday
Route 8 - Beach/Leisure,19,1,0,18.9,0,0,48,33,100,SYNTHETIC,27.1,1,0.33,Tuesday
Route 6 - Industrial Park,11,0,0,13.2,1,0,35,37,100,SYNTHETIC,45.9,0,0.37,Monday
Route 2 - Airport Link,11,3,0,4.4,0,0,23,20,100,SYNTHETIC,38.4,0,0.2,Thursday
Route 9 - East Corridor,7,2,0,31.4,0,0,12,47,100,SYNTHETIC,35.6,1,0.47,Wednesday
Route 3 - University Shuttle,11,0,0,18.3,0,0,22,24,100,SYNTHETIC,37.7,0,0.24,Monday
Route 1 - City Centre Express,9,4,0,16.6,0,1,159,104,100,SYNTHETIC,55.2,1,1.04,Friday
Route 1 - City Centre Express,16,1,0,14.6,0,0,34,38,100,SYNTHETIC,55.2,0,0.38,Tuesday
Route 8 - Beach/Leisure,8,2,0,30.0,0,0,26,28,100,SYNTHETIC,27.1,1,0.28,Wednesday
Route 4 - North Suburbs,20,6,1,27.1,0,0,25,11,100,SYNTHETIC,30.0,0,0.11,Sunday
Route 1 - City Centre Express,20,0,0,12.3,0,0,81,29,100,SYNTHETIC,55.2,0,0.29,Monday
Route 9 - East Corridor,7,1,0,29.3,1,0,17,59,100,SYNTHETIC,35.6,1,0.59,Tuesday
Route 4 - North Suburbs,7,2,0,18.8,1,0,12,55,100,SYNTHETIC,30.0,1,0.55,Wednesday
Route 10 - West Ring,7,3,0,15.1,0,0,8,43,100,SYNTHETIC,26.9,1,0.43,Thursday
Route 9 - East Corridor,16,1,0,17.7,1,0,23,32,100,SYNTHETIC,35.6,0,0.32,Tuesday
Route 1 - City Centre Express,8,6,1,13.7,1,0,57,63,100,SYNTHETIC,55.2,1,0.63,Sunday
Route 7 - Hospital Line,19,0,0,9.4,0,0,54,50,100,SYNTHETIC,37.7,1,0.5,Monday
Route 7 - Hospital Line,18,6,1,26.2,0,0,39,48,100,SYNTHETIC,37.7,1,0.48,Sunday
Route 2 - Airport Link,19,3,0,18.2,1,0,56,51,100,SYNTHETIC,38.4,1,0.51,Thursday
Route 4 - North Suburbs,14,0,0,24.9,0,0,22,19,100,SYNTHETIC,30.0,0,0.19,Monday
Route 5 - South Connector,23,0,0,22.3,0,1,10,4,100,SYNTHETIC,24.6,0,0.04,Monday
Route 2 - Airport Link,6,0,0,24.4,0,0,0,12,100,SYNTHETIC,38.4,0,0.12,Monday
Route 8 - Beach/Leisure,12,2,0,3.6,0,1,19,20,100,SYNTHETIC,27.1,0,0.2,Wednesday
Route 3 - University Shuttle,11,2,0,13.1,0,0,27,22,100,SYNTHETIC,37.7,0,0.22,Wednesday
Route 10 - West Ring,21,4,0,24.6,1,0,23,15,100,SYNTHETIC,26.9,0,0.15,Friday
Route 9 - East Corridor,15,2,0,9.8,0,0,21,19,100,SYNTHETIC,35.6,0,0.19,Wednesday
Route 7 - Hospital Line,18,5,1,23.0,1,0,43,48,100,SYNTHETIC,37.7,1,0.48,Saturday
Route 2 - Airport Link,8,2,0,8.9,0,0,53,59,100,SYNTHETIC,38.4,1,0.59,Wednesday
Route 1 - City Centre Express,22,1,0,20.1,1,0,24,17,100,SYNTHETIC,55.2,0,0.17,Tuesday
Route 2 - Airport Link,14,1,0,32.9,1,0,26,29,100,SYNTHETIC,38.4,0,0.29,Tuesday
Route 5 - South Connector,14,2,0,26.2,1,1,28,29,100,SYNTHETIC,24.6,0,0.29,Wednesday
Route 8 - Beach/Leisure,21,5,1,5.2,0,0,20,17,100,SYNTHETIC,27.1,0,0.17,Saturday
Route 2 - Airport Link,12,1,0,26.8,1,0,25,30,100,SYNTHETIC,38.4,0,0.3,Tuesday
Route 8 - Beach/Leisure,12,1,0,34.6,0,0,10,20,100,SYNTHETIC,27.1,0,0.2,Tuesday
Route 1 - City Centre Express,16,6,1,42.0,1,0,20,26,100,SYNTHETIC,55.2,0,0.26,Sunday
Route 3 - University Shuttle,8,4,0,23.8,0,0,68,87,100,SYNTHETIC,37.7,1,0.87,Friday
Route 6 - Industrial Park,11,1,0,9.1,0,0,26,25,100,SYNTHETIC,45.9,0,0.25,Tuesday
Route 9 - East Corridor,8,6,1,23.5,0,0,24,33,100,SYNTHETIC,35.6,1,0.33,Sunday
Route 8 - Beach/Leisure,7,1,0,32.8,0,0,10,17,100,SYNTHETIC,27.1,1,0.17,Tuesday
Route 6 - Industrial Park,19,1,0,18.5,0,1,170,110,100,SYNTHETIC,45.9,1,1.1,Tuesday
Route 1 - City Centre Express,16,3,0,28.3,0,0,36,38,100,SYNTHETIC,55.2,0,0.38,Thursday
Route 3 - University Shuttle,11,4,0,13.3,1,0,27,25,100,SYNTHETIC,37.7,0,0.25,Friday
Route 8 - Beach/Leisure,12,1,0,23.0,0,0,17,12,100,SYNTHETIC,27.1,0,0.12,Tuesday
Route 1 - City Centre Express,13,5,1,0.1,0,0,21,21,100,SYNTHETIC,55.2,0,0.21,Saturday
Route 8 - Beach/Leisure,16,1,0,12.4,0,0,15,20,100,SYNTHETIC,27.1,0,0.2,Tuesday
Route 8 - Beach/Leisure,20,5,1,20.0,0,0,49,27,100,SYNTHETIC,27.1,0,0.27,Saturday
Route 8 - Beach/Leisure,20,0,0,17.1,1,0,42,21,100,SYNTHETIC,27.1,0,0.21,Monday
Route 3 - University Shuttle,12,3,0,9.6,0,0,25,26,100,SYNTHETIC,37.7,0,0.26,Thursday
Route 3 - University Shuttle,11,4,0,16.0,0,0,20,27,100,SYNTHETIC,37.7,0,0.27,Friday
Route 2 - Airport Link,13,1,0,22.6,0,0,31,28,100,SYNTHETIC,38.4,0,0.28,Tuesday
Route 4 - North Suburbs,15,4,0,19.3,0,0,17,20,100,SYNTHETIC,30.0,0,0.2,Friday
Route 6 - Industrial Park,13,4,0,20.5,0,0,30,29,100,SYNTHETIC,45.9,0,0.29,Friday
Route 2 - Airport Link,17,4,0,25.9,0,0,36,58,100,SYNTHETIC,38.4,1,0.58,Friday
Route 6 - Industrial Park,15,2,0,17.3,1,1,47,69,100,SYNTHETIC,45.9,0,0.69,Wednesday
Route 3 - University Shuttle,11,5,1,30.9,0,0,4,8,100,SYNTHETIC,37.7,0,0.08,Saturday
Route 6 - Industrial Park,11,5,1,12.1,0,0,3,5,100,SYNTHETIC,45.9,0,0.05,Saturday
Route 4 - North Suburbs,12,2,0,35.4,0,0,21,23,100,SYNTHETIC,30.0,0,0.23,Wednesday
Route 10 - West Ring,7,5,1,28.9,0,0,0,23,100,SYNTHETIC,26.9,1,0.23,Saturday
Route 4 - North Suburbs,8,6,1,17.2,1,1,38,48,100,SYNTHETIC,30.0,1,0.48,Sunday
Route 9 - East Corridor,17,5,1,17.7,1,0,12,36,100,SYNTHETIC,35.6,1,0.36,Saturday
Route 2 - Airport Link,12,5,1,21.7,1,0,27,28,100,SYNTHETIC,38.4,0,0.28,Saturday
Route 1 - City Centre Express,9,5,1,24.8,1,0,76,43,100,SYNTHETIC,55.2,1,0.43,Saturday
Route 2 - Airport Link,15,5,1,28.8,0,0,23,25,100,SYNTHETIC,38.4,0,0.25,Saturday
Route 5 - South Connector,18,2,0,9.3,0,0,36,43,100,SYNTHETIC,24.6,1,0.43,Wednesday
Route 10 - West Ring,9,5,1,23.5,0,1,36,26,100,SYNTHETIC,26.9,1,0.26,Saturday
Route 2 - Airport Link,19,1,0,3.1,0,0,51,46,100,SYNTHETIC,38.4,1,0.46,Tuesday
Route 8 - Beach/Leisure,20,2,0,18.6,0,0,43,18,100,SYNTHETIC,27.1,0,0.18,Wednesday
Route 7 - Hospital Line,16,6,1,31.6,0,0,17,21,100,SYNTHETIC,37.7,0,0.21,Sunday
Route 4 - North Suburbs,17,1,0,8.7,0,1,39,73,100,SYNTHETIC,30.0,1,0.73,Tuesday
Route 4 - North Suburbs,7,5,1,7.2,0,0,0,22,100,SYNTHETIC,30.0,1,0.22,Saturday
Route 10 - West Ring,21,2,0,21.8,0,0,16,12,100,SYNTHETIC,26.9,0,0.12,Wednesday
Route 8 - Beach/Leisure,12,1,0,31.1,0,0,14,20,100,SYNTHETIC,27.1,0,0.2,Tuesday
Route 3 - University Shuttle,20,0,0,22.6,0,0,61,23,100,SYNTHETIC,37.7,0,0.23,Monday
Route 10 - West Ring,15,3,0,4.8,1,0,19,21,100,SYNTHETIC,26.9,0,0.21,Thursday
Route 5 - South Connector,1,3,0,6.5,0,0,2,0,100,SYNTHETIC,24.6,0,0.0,Thursday
Route 1 - City Centre Express,6,3,0,20.8,0,0,6,15,100,SYNTHETIC,55.2,0,0.15,Thursday
Route 9 - East Corridor,17,0,0,10.6,0,0,22,54,100,SYNTHETIC,35.6,1,0.54,Monday
Route 9 - East Corridor,15,1,0,21.1,0,0,18,23,100,SYNTHETIC,35.6,0,0.23,Tuesday
Route 5 - South Connector,6,0,0,21.6,0,0,2,7,100,SYNTHETIC,24.6,0,0.07,Monday
Route 8 - Beach/Leisure,18,2,0,16.1,0,0,39,50,100,SYNTHETIC,27.1,1,0.5,Wednesday
Route 3 - University Shuttle,19,6,1,34.5,0,0,14,12,100,SYNTHETIC,37.7,1,0.12,Sunday
Route 9 - East Corridor,14,1,0,24.7,0,0,23,21,100,SYNTHETIC,35.6,0,0.21,Tuesday
Route 4 - North Suburbs,13,4,0,29.7,0,0,20,20,100,SYNTHETIC,30.0,0,0.2,Friday
Route 3 - University Shuttle,1,0,0,27.4,1,0,3,2,100,SYNTHETIC,37.7,0,0.02,Monday
Route 6 - Industrial Park,18,3,0,18.8,0,0,94,108,100,SYNTHETIC,45.9,1,1.08,Thursday
Route 3 - University Shuttle,11,6,1,18.4,0,0,5,2,100,SYNTHETIC,37.7,0,0.02,Sunday
Route 7 - Hospital Line,19,2,0,17.6,1,0,73,56,100,SYNTHETIC,37.7,1,0.56,Wednesday
Route 8 - Beach/Leisure,12,1,0,25.4,0,0,8,11,100,SYNTHETIC,27.1,0,0.11,Tuesday
Route 5 - South Connector,15,3,0,14.8,1,0,16,23,100,SYNTHETIC,24.6,0,0.23,Thursday
Route 8 - Beach/Leisure,10,1,0,33.8,1,1,33,22,100,SYNTHETIC,27.1,0,0.22,Tuesday
Route 5 - South Connector,8,6,1,14.0,0,0,18,20,100,SYNTHETIC,24.6,1,0.2,Sunday
Route 10 - West Ring,18,5,1,21.7,0,0,20,20,100,SYNTHETIC,26.9,1,0.2,Saturday
Route 3 - University Shuttle,14,4,0,18.2,0,0,23,24,100,SYNTHETIC,37.7,0,0.24,Friday
Route 8 - Beach/Leisure,15,4,0,16.4,0,0,13,10,100,SYNTHETIC,27.1,0,0.1,Friday
Route 6 - Industrial Park,21,4,0,37.4,0,0,27,20,100,SYNTHETIC,45.9,0,0.2,Friday
Route 10 - West Ring,21,5,1,16.5,1,0,16,6,100,SYNTHETIC,26.9,0,0.06,Saturday
Route 3 - University Shuttle,19,3,0,17.6,0,0,81,62,100,SYNTHETIC,37.7,1,0.62,Thursday
Route 2 - Airport Link,8,6,1,14.7,1,0,47,57,100,SYNTHETIC,38.4,1,0.57,Sunday
Route 9 - East Corridor,16,2,0,20.3,0,0,18,25,100,SYNTHETIC,35.6,0,0.25,Wednesday
Route 10 - West Ring,19,0,0,19.2,0,0,50,36,100,SYNTHETIC,26.9,1,0.36,Monday
Route 8 - Beach/Leisure,12,4,0,11.0,0,0,12,17,100,SYNTHETIC,27.1,0,0.17,Friday
Route 5 - South Connector,7,4,0,16.6,0,0,15,37,100,SYNTHETIC,24.6,1,0.37,Friday
Route 5 - South Connector,18,6,1,24.9,0,0,23,24,100,SYNTHETIC,24.6,1,0.24,Sunday
Route 7 - Hospital Line,14,2,0,28.2,1,0,29,24,100,SYNTHETIC,37.7,0,0.24,Wednesday
Route 8 - Beach/Leisure,15,2,0,20.2,0,0,14,17,100,SYNTHETIC,27.1,0,0.17,Wednesday
Route 3 - University Shuttle,22,3,0,20.5,0,0,19,9,100,SYNTHETIC,37.7,0,0.09,Thursday
Route 1 - City Centre Express,16,2,0,17.1,0,0,25,38,100,SYNTHETIC,55.2,0,0.38,Wednesday
Route 1 - City Centre Express,12,5,1,16.0,1,0,18,20,100,SYNTHETIC,55.2,0,0.2,Saturday
Route 4 - North Suburbs,11,2,0,12.6,1,0,24,25,100,SYNTHETIC,30.0,0,0.25,Wednesday
Route 7 - Hospital Line,12,5,1,7.5,0,0,21,16,100,SYNTHETIC,37.7,0,0.16,Saturday
Route 5 - South Connector,7,2,0,14.4,1,0,6,43,100,SYNTHETIC,24.6,1,0.43,Wednesday
Route 7 - Hospital Line,18,1,0,27.2,0,0,48,62,100,SYNTHETIC,37.7,1,0.62,Tuesday
Route 5 - South Connector,19,6,1,16.6,0,0,23,17,100,SYNTHETIC,24.6,1,0.17,Sunday
Route 3 - University Shuttle,10,3,0,17.2,0,0,64,23,100,SYNTHETIC,37.7,0,0.23,Thursday
Route 8 - Beach/Leisure,10,4,0,17.1,0,0,19,18,100,SYNTHETIC,27.1,0,0.18,Friday
Route 8 - Beach/Leisure,19,4,0,30.0,1,0,48,41,100,SYNTHETIC,27.1,1,0.41,Friday
Route 10 - West Ring,6,2,0,12.6,0,0,0,10,100,SYNTHETIC,26.9,0,0.1,Wednesday
Route 9 - East Corridor,14,6,1,22.2,0,0,10,15,100,SYNTHETIC,35.6,0,0.15,Sunday
Route 4 - North Suburbs,13,2,0,19.5,1,0,24,18,100,SYNTHETIC,30.0,0,0.18,Wednesday
Route 8 - Beach/Leisure,17,6,1,20.5,0,0,26,57,100,SYNTHETIC,27.1,1,0.57,Sunday
Route 4 - North Suburbs,8,3,0,22.0,0,0,41,57,100,SYNTHETIC,30.0,1,0.57,Thursday
Route 9 - East Corridor,17,0,0,20.5,1,0,33,77,100,SYNTHETIC,35.6,1,0.77,Monday
Route 7 - Hospital Line,12,0,0,26.3,0,0,27,30,100,SYNTHETIC,37.7,0,0.3,Monday
Route 9 - East Corridor,16,6,1,19.8,1,0,10,10,100,SYNTHETIC,35.6,0,0.1,Sunday
Route 3 - University Shuttle,6,3,0,34.0,0,0,3,10,100,SYNTHETIC,37.7,0,0.1,Thursday
Route 1 - City Centre Express,13,2,0,20.4,0,0,34,28,100,SYNTHETIC,55.2,0,0.28,Wednesday
Route 2 - Airport Link,14,5,1,6.4,0,0,22,21,100,SYNTHETIC,38.4,0,0.21,Saturday
Route 6 - Industrial Park,9,4,0,25.1,0,0,104,76,100,SYNTHETIC,45.9,1,0.76,Friday
Route 10 - West Ring,8,4,0,23.1,1,0,50,62,100,SYNTHETIC,26.9,1,0.62,Friday
Route 7 - Hospital Line,8,4,0,20.3,0,0,63,69,100,SYNTHETIC,37.7,1,0.69,Friday
Route 9 - East Corridor,11,1,0,17.9,1,0,26,23,100,SYNTHETIC,35.6,0,0.23,Tuesday
Route 5 - South Connector,7,0,0,3.1,0,0,8,36,100,SYNTHETIC,24.6,1,0.36,Monday
Route 10 - West Ring,21,5,1,4.4,1,1,24,12,100,SYNTHETIC,26.9,0,0.12,Saturday
Route 10 - West Ring,12,0,0,33.2,1,0,25,29,100,SYNTHETIC,26.9,0,0.29,Monday
Route 3 - University Shuttle,18,5,1,15.3,1,0,14,14,100,SYNTHETIC,37.7,1,0.14,Saturday
Route 9 - East Corridor,22,0,0,27.7,1,0,17,13,100,SYNTHETIC,35.6,0,0.13,Monday
Route 1 - City Centre Express,7,1,0,7.2,1,0,11,96,100,SYNTHETIC,55.2,1,0.96,Tuesday
Route 6 - Industrial Park,17,4,0,11.6,1,0,40,104,100,SYNTHETIC,45.9,1,1.04,Friday
Route 5 - South Connector,19,4,0,25.4,0,0,49,34,100,SYNTHETIC,24.6,1,0.34,Friday
Route 4 - North Suburbs,16,5,1,19.2,0,1,24,24,100,SYNTHETIC,30.0,0,0.24,Saturday
Route 10 - West Ring,13,4,0,24.3,0,0,20,20,100,SYNTHETIC,26.9,0,0.2,Friday
Route 7 - Hospital Line,13,0,0,19.9,0,0,28,23,100,SYNTHETIC,37.7,0,0.23,Monday
Route 2 - Airport Link,6,5,1,18.3,0,0,5,13,100,SYNTHETIC,38.4,0,0.13,Saturday
Route 2 - Airport Link,15,1,0,14.6,0,0,30,30,100,SYNTHETIC,38.4,0,0.3,Tuesday
Route 2 - Airport Link,23,0,0,10.4,0,0,6,4,100,SYNTHETIC,38.4,0,0.04,Monday
Route 4 - North Suburbs,21,6,1,31.2,0,0,18,1,100,SYNTHETIC,30.0,0,0.01,Sunday
Route 1 - City Centre Express,6,1,0,32.5,0,0,3,16,100,SYNTHETIC,55.2,0,0.16,Tuesday
Route 3 - University Shuttle,17,3,0,11.7,1,0,28,82,100,SYNTHETIC,37.7,1,0.82,Thursday
Route 8 - Beach/Leisure,10,3,0,11.2,0,0,18,13,100,SYNTHETIC,27.1,0,0.13,Thursday
Route 9 - East Corridor,20,5,1,17.2,0,0,23,10,100,SYNTHETIC,35.6,0,0.1,Saturday
Route 8 - Beach/Leisure,6,0,0,22.7,0,1,4,15,100,SYNTHETIC,27.1,0,0.15,Monday
Route 5 - South Connector,20,0,0,18.5,0,0,28,11,100,SYNTHETIC,24.6,0,0.11,Monday
Route 7 - Hospital Line,19,2,0,24.0,0,1,95,76,100,SYNTHETIC,37.7,1,0.76,Wednesday
Route 10 - West Ring,7,3,0,19.6,0,0,12,44,100,SYNTHETIC,26.9,1,0.44,Thursday
Route 1 - City Centre Express,7,5,1,19.1,1,1,21,105,100,SYNTHETIC,55.2,1,1.05,Saturday
Route 10 - West Ring,19,4,0,39.3,1,0,53,40,100,SYNTHETIC,26.9,1,0.4,Friday
Route 8 - Beach/Leisure,8,1,0,15.8,0,0,27,28,100,SYNTHETIC,27.1,1,0.28,Tuesday
Route 4 - North Suburbs,15,6,1,33.1,1,0,8,12,100,SYNTHETIC,30.0,0,0.12,Sunday
Route 5 - South Connector,20,3,0,31.6,0,0,34,18,100,SYNTHETIC,24.6,0,0.18,Thursday
Route 5 - South Connector,15,6,1,24.0,1,0,3,16,100,SYNTHETIC,24.6,0,0.16,Sunday
Route 2 - Airport Link,12,6,1,4.6,0,0,23,22,100,SYNTHETIC,38.4,0,0.22,Sunday
Route 3 - University Shuttle,13,0,0,20.2,0,0,27,22,100,SYNTHETIC,37.7,0,0.22,Monday
Route 3 - University Shuttle,7,3,0,15.9,0,0,13,79,100,SYNTHETIC,37.7,1,0.79,Thursday
Route 1 - City Centre Express,21,2,0,20.2,0,0,28,23,100,SYNTHETIC,55.2,0,0.23,Wednesday
Route 6 - Industrial Park,10,3,0,11.5,0,0,65,26,100,SYNTHETIC,45.9,0,0.26,Thursday
Route 5 - South Connector,8,2,0,26.1,0,0,37,44,100,SYNTHETIC,24.6,1,0.44,Wednesday
Route 4 - North Suburbs,10,3,0,27.9,0,0,39,22,100,SYNTHETIC,30.0,0,0.22,Thursday
Route 2 - Airport Link,21,3,0,29.4,0,0,29,19,100,SYNTHETIC,38.4,0,0.19,Thursday
Route 10 - West Ring,7,1,0,16.9,1,0,10,44,100,SYNTHETIC,26.9,1,0.44,Tuesday
Route 7 - Hospital Line,19,2,0,11.5,0,0,62,50,100,SYNTHETIC,37.7,1,0.5,Wednesday
Route 5 - South Connector,17,1,0,22.8,0,0,21,40,100,SYNTHETIC,24.6,1,0.4,Tuesday
Route 8 - Beach/Leisure,19,5,1,34.0,0,0,72,54,100,SYNTHETIC,27.1,1,0.54,Saturday
Route 4 - North Suburbs,22,4,0,20.6,0,0,17,6,100,SYNTHETIC,30.0,0,0.06,Friday
Route 3 - University Shuttle,19,2,0,23.6,0,1,116,84,100,SYNTHETIC,37.7,1,0.84,Wednesday
Route 7 - Hospital Line,21,2,0,18.1,0,1,48,27,100,SYNTHETIC,37.7,0,0.27,Wednesday
